gene1	gene2	SP
YQE_05189	YQE_06742	0.995
YQE_05189	YQE_02259	0.995
YQE_05189	YQE_03162	0.995
YQE_05189	YQE_12518	0.995
YQE_05189	YQE_12932	0.995
YQE_05189	YQE_01985	0.995
YQE_05189	YQE_08467	0.995
YQE_00766	YQE_00767	0.995
YQE_00766	YQE_03852	0.995
YQE_00766	YQE_02288	0.995
YQE_00766	YQE_01223	0.995
YQE_00766	YQE_06507	0.995
YQE_00766	YQE_02257	0.995
YQE_00766	YQE_07652	0.995
YQE_00766	YQE_06954	0.995
YQE_00766	YQE_09887	0.995
YQE_00766	YQE_05662	0.995
YQE_00766	YQE_04648	0.995
YQE_00766	YQE_11555	0.995
YQE_00766	YQE_08468	0.995
YQE_00766	YQE_12119	0.995
YQE_00767	YQE_06742	0.995
YQE_00767	YQE_02259	0.995
YQE_00767	YQE_03162	0.995
YQE_00767	YQE_12518	0.995
YQE_00767	YQE_12932	0.995
YQE_00767	YQE_01985	0.995
YQE_00767	YQE_08467	0.995
YQE_03852	YQE_06742	0.995
YQE_03852	YQE_02259	0.995
YQE_03852	YQE_03162	0.995
YQE_03852	YQE_12518	0.995
YQE_03852	YQE_12932	0.995
YQE_03852	YQE_01985	0.995
YQE_03852	YQE_08467	0.995
YQE_03852	YQE_12107	0.995
YQE_02288	YQE_06742	0.995
YQE_02288	YQE_02259	0.995
YQE_02288	YQE_03162	0.995
YQE_02288	YQE_12518	0.995
YQE_02288	YQE_12932	0.995
YQE_02288	YQE_01985	0.995
YQE_02288	YQE_08467	0.995
YQE_02288	YQE_12107	0.995
YQE_01223	YQE_06742	0.995
YQE_01223	YQE_02259	0.995
YQE_01223	YQE_03162	0.995
YQE_01223	YQE_12518	0.995
YQE_01223	YQE_12932	0.995
YQE_01223	YQE_01985	0.995
YQE_01223	YQE_08467	0.995
YQE_06507	YQE_06742	0.995
YQE_06507	YQE_02259	0.995
YQE_06507	YQE_03162	0.995
YQE_06507	YQE_12518	0.995
YQE_06507	YQE_12932	0.995
YQE_06507	YQE_01985	0.995
YQE_06507	YQE_08467	0.995
YQE_06507	YQE_12107	0.995
YQE_06742	YQE_02257	0.995
